Indicator Type,County,Value
Primary_Care,51001,42.20
Primary_Care,51003,213.20
Primary_Care,51005,86.20
Primary_Care,51007,7.90
Primary_Care,51009,18.50
Primary_Care,51011,13.40
Primary_Care,51013,111.70
Primary_Care,51015,58.30
Primary_Care,51017,42.30
Primary_Care,51019,62.60
Primary_Care,51021,0.00
Primary_Care,51023,54.30
Primary_Care,51025,28.70
Primary_Care,51027,33.20
Primary_Care,51029,23.30
Primary_Care,51031,20.10
Primary_Care,51033,14.00
Primary_Care,51035,26.60
Primary_Care,51036,27.60
Primary_Care,51037,31.80
Primary_Care,51041,109.70
Primary_Care,51043,49.90
Primary_Care,51045,19.30
Primary_Care,51047,42.80
Primary_Care,51049,9.90
Primary_Care,51051,31.40
Primary_Care,51053,7.10
Primary_Care,51057,44.80
Primary_Care,51059,122.70
Primary_Care,51061,56.70
Primary_Care,51063,19.60
Primary_Care,51065,54.50
Primary_Care,51067,48.10
Primary_Care,51069,43.40
Primary_Care,51071,57.90
Primary_Care,51073,67.80
Primary_Care,51075,96.70
Primary_Care,51077,32.20
Primary_Care,51079,21.70
Primary_Care,51081,81.70
Primary_Care,51083,63.50
Primary_Care,51085,82.10
Primary_Care,51087,154.80
Primary_Care,51089,11.10
Primary_Care,51091,86.20
Primary_Care,51093,56.70
Primary_Care,51095,141.80
Primary_Care,51097,43.20
Primary_Care,51099,12.70
Primary_Care,51101,43.90
Primary_Care,51103,193.10
Primary_Care,51105,43.00
Primary_Care,51107,78.80
Primary_Care,51109,18.10
Primary_Care,51111,23.20
Primary_Care,51113,60.10
Primary_Care,51115,22.30
Primary_Care,51117,76.40
Primary_Care,51119,82.10
Primary_Care,51121,66.70
Primary_Care,51125,59.90
Primary_Care,51127,27.10
Primary_Care,51131,113.00
Primary_Care,51133,40.60
Primary_Care,51135,63.10
Primary_Care,51137,71.70
Primary_Care,51139,45.80
Primary_Care,51141,37.90
Primary_Care,51143,6.30
Primary_Care,51145,67.70
Primary_Care,51147,59.90
Primary_Care,51149,16.80
Primary_Care,51153,49.80
Primary_Care,51155,57.40
Primary_Care,51157,54.30
Primary_Care,51159,0.00
Primary_Care,51161,154.80
Primary_Care,51163,9.00
Primary_Care,51165,22.30
Primary_Care,51167,34.60
Primary_Care,51169,25.90
Primary_Care,51171,52.40
Primary_Care,51173,71.40
Primary_Care,51175,16.20
Primary_Care,51177,62.90
Primary_Care,51179,35.70
Primary_Care,51181,14.20
Primary_Care,51183,33.10
Primary_Care,51185,99.80
Primary_Care,51187,55.90
Primary_Care,51191,80.20
Primary_Care,51193,17.20
Primary_Care,51195,55.50
Primary_Care,51197,65.00
Primary_Care,51199,120.70
Primary_Care,51510,106.50
Primary_Care,51515,0.00
Primary_Care,51520,28.00
Primary_Care,51530,15.00
Primary_Care,51540,572.70
Primary_Care,51550,100.80
Primary_Care,51560,
Primary_Care,51570,178.00
Primary_Care,51580,33.60
Primary_Care,51590,97.50
Primary_Care,51595,0.00
Primary_Care,51600,283.60
Primary_Care,51610,373.00
Primary_Care,51620,209.70
Primary_Care,51630,205.90
Primary_Care,51640,326.60
Primary_Care,51650,49.50
Primary_Care,51660,149.20
Primary_Care,51670,53.10
Primary_Care,51678,326.60
Primary_Care,51680,162.80
Primary_Care,51683,148.10
Primary_Care,51685,0.00
Primary_Care,51690,246.00
Primary_Care,51700,89.10
Primary_Care,51710,143.30
Primary_Care,51720,454.80
Primary_Care,51730,83.30
Primary_Care,51735,65.80
Primary_Care,51740,76.40
Primary_Care,51750,128.00
Primary_Care,51760,140.00
Primary_Care,51770,119.50
Primary_Care,51775,161.30
Primary_Care,51790,80.00
Primary_Care,51800,107.60
Primary_Care,51810,89.50
Primary_Care,51820,114.30
Primary_Care,51830,0.00
Primary_Care,51840,312.90
Primary_Care,51001,28.80
Primary_Care,51003,209.40
Primary_Care,51005,61.70
Primary_Care,51007,7.80
Primary_Care,51009,21.50
Primary_Care,51011,27.60
Primary_Care,51013,119.50
Primary_Care,51015,57.50
Primary_Care,51017,66.00
Primary_Care,51019,62.80
Primary_Care,51021,28.90
Primary_Care,51023,43.40
Primary_Care,51025,22.80
Primary_Care,51027,34.00
Primary_Care,51029,25.00
Primary_Care,51031,17.00
Primary_Care,51033,18.10
Primary_Care,51035,78.90
Primary_Care,51036,27.70
Primary_Care,51037,40.80
Primary_Care,51041,111.40
Primary_Care,51043,48.40
Primary_Care,51045,0.00
Primary_Care,51047,41.10
Primary_Care,51049,20.70
Primary_Care,51051,48.80
Primary_Care,51053,15.30
Primary_Care,51057,54.10
Primary_Care,51059,132.50
Primary_Care,51061,50.90
Primary_Care,51063,40.50
Primary_Care,51065,70.50
Primary_Care,51067,56.30
Primary_Care,51069,44.70
Primary_Care,51071,52.20
Primary_Care,51073,49.20
Primary_Care,51075,81.10
Primary_Care,51077,25.00
Primary_Care,51079,39.00
Primary_Care,51081,75.30
Primary_Care,51083,56.50
Primary_Care,51085,78.20
Primary_Care,51087,128.80
Primary_Care,51089,56.00
Primary_Care,51091,82.40
Primary_Care,51093,53.60
Primary_Care,51095,153.80
Primary_Care,51097,43.90
Primary_Care,51099,17.30
Primary_Care,51101,37.40
Primary_Care,51103,113.40
Primary_Care,51105,59.70
Primary_Care,51107,82.40
Primary_Care,51109,18.30
Primary_Care,51111,30.90
Primary_Care,51113,66.00
Primary_Care,51115,55.30
Primary_Care,51117,65.30
Primary_Care,51119,122.80
Primary_Care,51121,66.70
Primary_Care,51125,65.30
Primary_Care,51127,28.10
Primary_Care,51131,119.30
Primary_Care,51133,162.60
Primary_Care,51135,50.30
Primary_Care,51137,81.50
Primary_Care,51139,37.20
Primary_Care,51141,31.80
Primary_Care,51143,4.90
Primary_Care,51145,46.40
Primary_Care,51147,68.70
Primary_Care,51149,16.60
Primary_Care,51153,46.10
Primary_Care,51155,60.00
Primary_Care,51157,41.90
Primary_Care,51159,0.00
Primary_Care,51161,144.20
Primary_Care,51163,97.40
Primary_Care,51165,24.20
Primary_Care,51167,38.20
Primary_Care,51169,43.80
Primary_Care,51171,56.40
Primary_Care,51173,72.10
Primary_Care,51175,5.40
Primary_Care,51177,50.00
Primary_Care,51179,32.90
Primary_Care,51181,14.00
Primary_Care,51183,24.70
Primary_Care,51185,114.20
Primary_Care,51187,54.60
Primary_Care,51191,81.10
Primary_Care,51193,11.50
Primary_Care,51195,69.50
Primary_Care,51197,79.90
Primary_Care,51199,114.70
Primary_Care,51510,113.30
Primary_Care,51515,0.00
Primary_Care,51520,0.00
Primary_Care,51530,30.90
Primary_Care,51540,621.90
Primary_Care,51550,95.40
Primary_Care,51570,152.00
Primary_Care,51580,32.70
Primary_Care,51590,103.00
Primary_Care,51595,0.00
Primary_Care,51600,67.10
Primary_Care,51610,358.10
Primary_Care,51620,202.80
Primary_Care,51630,184.10
Primary_Care,51640,161.60
Primary_Care,51650,51.50
Primary_Care,51660,147.70
Primary_Care,51670,77.80
Primary_Care,51678,57.10
Primary_Care,51680,154.30
Primary_Care,51683,161.90
Primary_Care,51685,0.00
Primary_Care,51690,89.40
Primary_Care,51700,91.90
Primary_Care,51710,148.20
Primary_Care,51720,459.20
Primary_Care,51730,85.10
Primary_Care,51735,50.70
Primary_Care,51740,72.60
Primary_Care,51750,142.60
Primary_Care,51760,152.00
Primary_Care,51770,119.40
Primary_Care,51775,153.20
Primary_Care,51790,83.40
Primary_Care,51800,115.40
Primary_Care,51810,85.10
Primary_Care,51820,86.50
Primary_Care,51830,8.00
Primary_Care,51840,297.30
College_Degrees,51001,17.90
College_Degrees,51003,51.60
College_Degrees,51009,15.70
College_Degrees,51013,70.00
College_Degrees,51015,18.50
College_Degrees,51019,24.30
College_Degrees,51023,24.20
College_Degrees,51027,8.80
College_Degrees,51031,16.20
College_Degrees,51033,16.90
College_Degrees,51035,12.30
College_Degrees,51041,36.40
College_Degrees,51047,23.80
College_Degrees,51053,11.40
College_Degrees,51059,57.70
College_Degrees,51061,34.30
College_Degrees,51065,26.40
College_Degrees,51067,18.10
College_Degrees,51069,25.60
College_Degrees,51073,21.60
College_Degrees,51075,39.10
College_Degrees,51083,13.50
College_Degrees,51085,35.50
College_Degrees,51087,39.20
College_Degrees,51089,11.00
College_Degrees,51093,24.70
College_Degrees,51095,44.10
College_Degrees,51099,31.70
College_Degrees,51105,11.70
College_Degrees,51107,57.40
College_Degrees,51109,16.70
College_Degrees,51117,12.00
College_Degrees,51121,42.60
College_Degrees,51137,22.40
College_Degrees,51139,12.10
College_Degrees,51143,12.90
College_Degrees,51145,26.10
College_Degrees,51147,20.60
College_Degrees,51149,15.70
College_Degrees,51153,37.60
College_Degrees,51155,15.60
College_Degrees,51161,32.70
College_Degrees,51163,21.50
College_Degrees,51165,22.90
College_Degrees,51167,11.30
College_Degrees,51169,10.50
College_Degrees,51171,19.00
College_Degrees,51173,15.30
College_Degrees,51177,28.10
College_Degrees,51179,36.00
College_Degrees,51185,12.60
College_Degrees,51187,21.10
College_Degrees,51191,19.00
College_Degrees,51195,12.80
College_Degrees,51197,14.20
College_Degrees,51199,41.70
College_Degrees,51510,59.50
College_Degrees,51540,46.60
College_Degrees,51550,28.50
College_Degrees,51590,16.90
College_Degrees,51600,52.00
College_Degrees,51630,32.00
College_Degrees,51650,22.60
College_Degrees,51660,35.10
College_Degrees,51670,10.10
College_Degrees,51680,30.00
College_Degrees,51683,27.80
College_Degrees,51700,23.20
College_Degrees,51710,24.40
College_Degrees,51730,12.80
College_Degrees,51740,18.40
College_Degrees,51760,33.90
College_Degrees,51770,22.80
College_Degrees,51775,32.20
College_Degrees,51790,26.20
College_Degrees,51800,25.70
College_Degrees,51810,32.10
College_Degrees,51820,18.00
College_Degrees,51840,28.60
College_Degrees,51001,16.50
College_Degrees,51003,52.20
College_Degrees,51009,16.40
College_Degrees,51013,71.00
College_Degrees,51015,20.20
College_Degrees,51019,25.10
College_Degrees,51023,24.20
College_Degrees,51027,7.20
College_Degrees,51031,16.60
College_Degrees,51033,17.60
College_Degrees,51035,11.40
College_Degrees,51041,36.50
College_Degrees,51047,21.40
College_Degrees,51053,14.60
College_Degrees,51059,57.80
College_Degrees,51061,33.20
College_Degrees,51065,29.80
College_Degrees,51067,20.10
College_Degrees,51069,29.10
College_Degrees,51073,20.20
College_Degrees,51075,39.60
College_Degrees,51083,14.30
College_Degrees,51085,35.80
College_Degrees,51087,39.60
College_Degrees,51089,10.50
College_Degrees,51093,27.90
College_Degrees,51095,45.50
College_Degrees,51099,33.50
College_Degrees,51105,11.90
College_Degrees,51107,57.00
College_Degrees,51109,17.10
College_Degrees,51117,14.20
College_Degrees,51121,43.80
College_Degrees,51137,23.10
College_Degrees,51139,12.50
College_Degrees,51143,14.20
College_Degrees,51145,26.70
College_Degrees,51147,22.90
College_Degrees,51149,17.30
College_Degrees,51153,37.20
